aenean,2
efficitur,3
elementum,2
mollis,3
tempor,1
potenti,1
bibendum,4
commodo,2
purus,2
augue,4
justo,3
lorem,6
leo,1
semper,2
volutpat,4
sodales,1
finibus,6
urna,3
velit,2
luctus,3
fusce,1
pellentesque,4
ipsum,5
convallis,2
elit,2
ullamcorper,3
laoreet,4
vestibulum,6
congue,2
arcu,5
dolor,3
iaculis,1
sed,15
duis,2
dictum,4
metus,4
vehicula,2
sem,4
dapibus,1
pulvinar,2
diam,2
porta,2
interdum,4
ultricies,1
nisi,2
morbi,4
quam,3
tincidunt,5
ultrices,3
ornare,4
condimentum,2
aliquam,3
magna,3
praesent,1
turpis,5
nibh,5
ante,3
placerat,1
malesuada,1
sapien,2
quis,3
porttitor,4
eros,2
maximus,1
tristique,3
etiam,2
suscipit,2
adipiscing,1
cursus,3
est,1
odio,3
accumsan,2
integer,3
egestas,6
nec,8
scelerisque,2
nunc,2
erat,2
facilisis,2
euismod,2
donec,4
vivamus,3
mauris,5
neque,5
molestie,3
vel,7
feugiat,2
enim,2
ligula,2
lobortis,1
consequat,4
varius,6
dignissim,1
vulputate,1
nullam,2
fermentum,2
mattis,2
lacus,4
vitae,2
posuere,3
tellus,1
felis,5
orci,3
faucibus,3
phasellus,3
lacinia,4
lectus,4
venenatis,2
rhoncus,3
viverra,2
tempus,1
primis,1
non,6
risus,5
curae,1
maecenas,1
hendrerit,3
sit,11
tortor,2
fringilla,3
curabitur,2
cubilia,1
suspendisse,5
aliquet,1
amet,11
pretium,2
quisque,2
dui,2
libero,3
consectetur,4
nulla,7
eget,3
gravida,1
